circuit_type,design,platform,status,critical_path_ns,die_area,total_power_mw,config_hash,param_hash,tag,result_path,params_json,metrics_path,design_path
multipliers,mult16s_normal_ripple_wrapper,asap7,ok,1.1383044,249.545209,0.216,50c88fd32ea3,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,asap7,ok,1.1305228,1281.353616,0.246,50c88fd32ea3,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,asap7,ok,1.1338507,292.888996,0.252,50c88fd32ea3,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,nangate45,ok,2.5324,18773.110225,0.0022,50c88fd32ea3,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,nangate45,ok,2.5346,3891.2644,0.00214,50c88fd32ea3,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,nangate45,ok,2.5346,3262.6944,0.00214,50c88fd32ea3,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,sky130hd,ok,11.5094,21714.9696,0.00427,50c88fd32ea3,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,sky130hd,ok,11.4903,85684.9984,0.00446,50c88fd32ea3,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_ripple_wrapper,sky130hd,ok,11.5504,17427.960225,0.00427,50c88fd32ea3,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper
multipliers,mult16s_normal_sklansky_wrapper,asap7,ok,0.6573555,250.430625,0.253,d18e089118ce,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper
multipliers,mult16s_normal_sklansky_wrapper,asap7,ok,0.6564637,1286.298225,0.292,d18e089118ce,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper
multipliers,mult16s_normal_sklansky_wrapper,asap7,ok,0.6521264,293.951025,0.257,d18e089118ce,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper
multipliers,mult16s_normal_sklansky_wrapper,nangate45,ok,0.2179,18910.375225,0.00334,d18e089118ce,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper
